sentence,title
沉舟侧畔千帆过，病树前头万木春。,刘禹锡《酬乐天扬州初逢席上见赠》
酒逢知己千杯少，话不投机半句多。,《明贤集·七言集》
伤心桥下春波绿，曾是惊鸿照影来。,陆游《沈园二首》
生当复来归，死当长相思。,佚名《留别妻》
从前种种，譬如昨日死；从后种种，譬如今日生,《了凡四训·立命之学》
独自莫凭栏，无限江山，别时容易见时难。,李煜《浪淘沙令·帘外雨潺潺》
往者不可谏，来者犹可追。,《论语·微子篇》
山外青山楼外楼，西湖歌舞几时休？,林升《题临安邸》
相思相见知何日？此时此夜难为情！,李白《三五七言 / 秋风词》
我欲穿花寻路，直入白云深处，浩气展虹霓。,黄庭坚《水调歌头·游览》
无可奈何花落去，似曾相识燕归来。,晏殊《浣溪沙·一曲新词酒一杯》
井蛙不可以语于海者，拘于虚也；夏虫不可以语于冰者，笃于时也,《庄子·外篇·秋水》
采得百花成蜜后，为谁辛苦为谁甜。,罗隐《蜂》
金风玉露一相逢，便胜却人间无数。,秦观《鹊桥仙·纤云弄巧》
年年岁岁花相似，岁岁年年人不同。,刘希夷《代悲白头翁 / 白头吟 / 有所思》
露从今夜白，月是故乡明。,杜甫《月夜忆舍弟》
春风十里扬州路，卷上珠帘总不如。,杜牧《赠别》
锦瑟无端五十弦，一弦一柱思华年。,李商隐《锦瑟》
美人自刎乌江岸，战火曾烧赤壁山，将军空老玉门关。,张可久《卖花声·怀古》
闻君有两意，故来相决绝。,卓文君《白头吟》
多情自古伤离别，更那堪冷落清秋节！,柳永《雨霖铃·寒蝉凄切》
花间一壶酒，独酌无相亲。,李白《月下独酌四首·其一》
青青子衿，悠悠我心。,佚名《子衿》
落红不是无情物，化作春泥更护花。,龚自珍《己亥杂诗·其五》
韶华不为少年留，恨悠悠，几时休？,秦观《江城子·西城杨柳弄春柔》
世人结交须黄金，黄金不多交不深。,张谓《题长安壁主人》
竹外桃花三两枝，春江水暖鸭先知。,苏轼《惠崇春江晚景 / 惠崇春江晓景》
若教眼底无离恨，不信人间有白头。,辛弃疾《鹧鸪天·晚日寒鸦一片愁》
羡青山有思，白鹤忘机。,汤恢《八声甘州·摘青梅荐酒》
长风破浪会有时，直挂云帆济沧海。,李白《行路难·其一》
酒入愁肠，化作相思泪。,范仲淹《苏幕遮·怀旧》
我有一瓢酒，可以慰风尘。,韦应物《简卢陟》
渐行渐远渐无书，水阔鱼沉何处问。,欧阳修《玉楼春·别后不知君远近》
射人先射马，擒贼先擒王。,杜甫《前出塞九首·其六》
夕阳无限好，只是近黄昏。,李商隐《乐游原 / 登乐游原》
盈盈一水间，脉脉不得语。,佚名《迢迢牵牛星》
人闲桂花落，夜静春山空。,王维《鸟鸣涧》
